timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671588059119,6381,WebApp,200,OK,172.18.41.4-Thread Group 1-79,text,true,,29222,150,68,68,https://loadtestingweb.azurewebsites.net/,6376,0,27
1671588058938,6562,WebApp,200,OK,172.18.41.4-Thread Group 1-58,text,true,,29222,150,67,67,https://loadtestingweb.azurewebsites.net/,6558,0,28
1671588058521,6976,WebApp,200,OK,172.18.41.4-Thread Group 1-22,text,true,,29222,150,68,68,https://loadtestingweb.azurewebsites.net/,6975,0,41
1671588058830,6672,WebApp,200,OK,172.18.41.4-Thread Group 1-53,text,true,,29222,150,67,67,https://loadtestingweb.azurewebsites.net/,6670,0,29
1671588058907,6597,WebApp,200,OK,172.18.41.4-Thread Group 1-56,text,true,,29222,150,64,64,https://loadtestingweb.azurewebsites.net/,6577,0,32
1671588058623,6990,WebApp,200,OK,172.18.41.4-Thread Group 1-31,text,true,,29222,150,55,55,https://loadtestingweb.azurewebsites.net/,6985,0,58
1671588058593,7061,WebApp,200,OK,172.18.41.4-Thread Group 1-29,text,true,,29222,150,54,54,https://loadtestingweb.azurewebsites.net/,7054,0,68
1671588058435,7251,WebApp,200,OK,172.18.41.4-Thread Group 1-13,text,true,,29222,150,53,53,https://loadtestingweb.azurewebsites.net/,7250,0,95
1671588059265,6430,WebApp,200,OK,172.18.41.4-Thread Group 1-96,text,true,,29222,150,52,52,https://loadtestingweb.azurewebsites.net/,6429,0,22
1671588059234,6461,WebApp,200,OK,172.18.41.4-Thread Group 1-93,text,true,,29222,150,52,52,https://loadtestingweb.azurewebsites.net/,6460,0,36
1671588059212,6491,WebApp,200,OK,172.18.41.4-Thread Group 1-90,text,true,,29222,150,50,50,https://loadtestingweb.azurewebsites.net/,6490,0,26
1671588059037,6667,WebApp,200,OK,172.18.41.4-Thread Group 1-71,text,true,,29222,150,50,50,https://loadtestingweb.azurewebsites.net/,6665,0,36
1671588059217,6514,WebApp,200,OK,172.18.41.4-Thread Group 1-91,text,true,,29222,150,48,48,https://loadtestingweb.azurewebsites.net/,6513,0,30
1671588058556,7182,WebApp,200,OK,172.18.41.4-Thread Group 1-25,text,true,,29222,150,47,47,https://loadtestingweb.azurewebsites.net/,7176,0,31
1671588059131,6641,WebApp,200,OK,172.18.41.4-Thread Group 1-82,text,true,,29222,150,46,46,https://loadtestingweb.azurewebsites.net/,6639,0,40
1671588059033,6739,WebApp,200,OK,172.18.41.4-Thread Group 1-70,text,true,,29222,150,46,46,https://loadtestingweb.azurewebsites.net/,6737,0,37
1671588058930,6848,WebApp,200,OK,172.18.41.4-Thread Group 1-62,text,true,,29222,150,45,45,https://loadtestingweb.azurewebsites.net/,6840,0,41
1671588058623,7156,WebApp,200,OK,172.18.41.4-Thread Group 1-32,text,true,,29222,150,45,45,https://loadtestingweb.azurewebsites.net/,7154,0,119
1671588058651,7147,WebApp,200,OK,172.18.41.4-Thread Group 1-34,text,true,,29222,150,42,42,https://loadtestingweb.azurewebsites.net/,7146,0,65
1671588059110,6717,WebApp,200,OK,172.18.41.4-Thread Group 1-80,text,true,,29242,150,41,41,https://loadtestingweb.azurewebsites.net/,6716,0,78
1671588058757,7073,WebApp,200,OK,172.18.41.4-Thread Group 1-45,text,true,,29222,150,40,40,https://loadtestingweb.azurewebsites.net/,7072,0,51
